batting,out,runs,balls,mins,fours,sixs,SR,counter
Wriddhiman Saha †,c Dube b Hangargekar,25,16,0,2,2,156.25,1
Shubman Gill,c Gaikwad b Deshpande,63,36,0,6,3,175.00,1
Sai Sudharsan,c †Dhoni b Hangargekar,22,17,0,3,0,129.41,1
Hardik Pandya (c),b Jadeja,8,11,0,0,0,72.72,1
Vijay Shankar,c Santner b Hangargekar,27,21,0,2,1,128.57,1
Rahul Tewatia,not out,15,14,0,1,1,107.14,1
Rashid Khan,not out,10,3,0,1,1,333.33,1
Mandeep Singh,c Curran b Arshdeep Singh,2,4,7,0,0,50.00,2
Rahmanullah Gurbaz †,b Ellis,22,16,26,3,1,137.50,2
Anukul Roy,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80.00,2
Venkatesh Iyer,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42,2
Nitish Rana (c),c Chahar b Sikandar Raza,24,17,23,3,1,141.17,2
Rinku Singh,c Sikandar Raza b Chahar,4,4,5,0,0,100.00,2
Andre Russell,c Sikandar Raza b Curran,35,19,24,3,2,184.21,2
Shardul Thakur,not out,8,3,8,0,1,266.66,2
Sunil Narine,not out,7,2,4,0,1,350.00,2
Prithvi Shaw,b Wood,12,9,24,2,0,133.33,3
David Warner (c),c Gowtham b Avesh Khan,56,48,87,7,0,116.66,3
Mitchell Marsh,b Wood,0,1,2,0,0,0.00,3
Sarfaraz Khan †,c Gowtham b Wood,4,9,16,1,0,44.44,3
Rilee Rossouw,c Mayers b Ravi Bishnoi,30,20,24,3,1,150.00,3
Rovman Powell,lbw b Ravi Bishnoi,1,3,11,0,0,33.33,3
Aman Hakim Khan,c †Pooran b Avesh Khan,4,5,11,0,0,80.00,3
Axar Patel,c sub (PN Mankad) b Wood,16,11,21,1,1,145.45,3
Kuldeep Yadav,not out,6,10,22,0,0,60.00,3
Chetan Sakariya,c Pandya b Wood,4,4,5,1,0,100.00,3
Mukesh Kumar,not out,0,1,1,0,0,0.00,3
Abhishek Sharma,b Boult,0,3,3,0,0,0.00,4
Mayank Agarwal,c Buttler b Chahal,27,23,56,3,0,117.39,4
Rahul Tripathi,c Holder b Boult,0,2,6,0,0,0.00,4
Harry Brook,b Chahal,13,21,28,1,0,61.90,4
Washington Sundar,c Hetmyer b Holder,1,5,10,0,0,20.00,4
Glenn Phillips †,c Asif b Ashwin,8,6,6,0,1,133.33,4
Abdul Samad,not out,32,32,51,2,1,100.00,4
Adil Rashid,st †Samson b Chahal,18,13,17,1,1,138.46,4
Bhuvneshwar Kumar (c),b Chahal,6,10,20,0,0,60.00,4
Umran Malik,not out,19,8,12,1,2,237.50,4
Virat Kohli,not out,82,49,75,6,5,167.34,5
Faf du Plessis (c),c David b Arshad Khan,73,43,66,5,6,169.76,5
Dinesh Karthik †,c Tilak Varma b Green,0,3,6,0,0,0.00,5
Glenn Maxwell,not out,12,3,5,0,2,400.00,5
KL Rahul (c),c Gaikwad b Ali,20,18,42,2,0,111.11,6
Kyle Mayers,c Conway b Ali,53,22,35,8,2,240.90,6
Deepak Hooda,c Stokes b Santner,2,6,6,0,0,33.33,6
Krunal Pandya,c Jadeja b Ali,9,9,14,0,1,100.00,6
Marcus Stoinis,b Ali,21,18,26,0,1,116.66,6
Nicholas Pooran †,c Stokes b Deshpande,32,18,28,2,3,177.77,6
Ayush Badoni,c †Dhoni b Deshpande,23,18,38,0,0,127.77,6
Krishnappa Gowtham,not out,17,11,26,0,1,154.54,6
Mark Wood,not out,10,3,2,1,1,333.33,6
Wriddhiman Saha †,b Nortje,14,7,9,2,1,200.00,7
Shubman Gill,b Nortje,14,13,19,3,0,107.69,7
Sai Sudharsan,not out,62,48,92,4,2,129.16,7
Hardik Pandya (c),c †Abishek Porel b Ahmed,5,4,12,1,0,125.00,7
Vijay Shankar,lbw b Marsh,29,23,40,3,0,126.08,7
David Miller,not out,31,16,28,2,2,193.75,7
Yashasvi Jaiswal,c sub (MW Short) b Arshdeep Singh,11,8,12,1,1,137.50,8
Ravichandran Ashwin,c S Dhawan b Arshdeep Singh,0,4,23,0,0,0.00,8
Jos Buttler,c & b Ellis,19,11,24,1,1,172.72,8
Sanju Samson (c)†,c sub (MW Short) b Ellis,42,25,39,5,1,168.00,8
Devdutt Padikkal,b Ellis,21,26,47,1,0,80.76,8
Riyan Parag,c Shahrukh Khan b Ellis,20,12,16,1,2,166.66,8
Shimron Hetmyer,run out (Shahrukh Khan/Curran),36,18,35,1,3,200.00,8
Dhruv Jurel,not out,32,15,32,3,2,213.33,8
Jason Holder,not out,1,1,4,0,0,100.00,8
Virat Kohli,b Narine,21,18,20,3,0,116.66,9
Faf du Plessis (c),b Varun,23,12,24,2,2,191.66,9
Michael Bracewell,c Rana b Thakur,19,18,33,1,1,105.55,9
Glenn Maxwell,b Varun,5,7,9,1,0,71.42,9
Harshal Patel,b Varun,0,2,3,0,0,0.00,9
Shahbaz Ahmed,c Thakur b Narine,1,5,6,0,0,20.00,9
Dinesh Karthik †,c Varun b Suyash Sharma,9,8,23,1,0,112.50,9
Anuj Rawat,c Narine b Suyash Sharma,1,5,5,0,0,20.00,9
David Willey,not out,20,20,28,2,0,100.00,9
Karn Sharma,c Rana b Suyash Sharma,1,3,11,0,0,33.33,9
Akash Deep,c & b Varun,17,8,14,2,1,212.50,9
Kyle Mayers,c Agarwal b Fazalhaq Farooqi,13,14,22,2,0,92.85,10
KL Rahul (c),lbw b Rashid,35,31,74,4,0,112.90,10
Deepak Hooda,c & b Kumar,7,8,10,0,1,87.50,10
Krunal Pandya,c †Anmolpreet Singh b Umran Malik,34,23,33,4,1,147.82,10
Marcus Stoinis,not out,10,13,22,2,0,76.92,10
Romario Shepherd,lbw b Rashid,0,1,3,0,0,0.00,10
Nicholas Pooran †,not out,11,6,7,1,1,183.33,10
Prithvi Shaw,c †Samson b Boult,0,3,4,0,0,0.00,11
David Warner (c),lbw b Chahal,65,55,102,7,0,118.18,11
Manish Pandey,lbw b Boult,0,1,3,0,0,0.00,11
Rilee Rossouw,c Jaiswal b R Ashwin,14,12,24,2,0,116.66,11
Lalit Yadav,b Boult,38,24,35,5,0,158.33,11
Axar Patel,st †Samson b Chahal,2,6,12,0,0,33.33,11
Rovman Powell,c Hetmyer b R Ashwin,2,2,6,0,0,100.00,11
Abishek Porel †,c Hetmyer b Chahal,7,9,18,1,0,77.77,11
Kuldeep Yadav,not out,3,7,9,0,0,42.85,11
Anrich Nortje,b Sandeep Sharma,0,1,3,0,0,0.00,11
Mukesh Kumar,not out,1,1,3,0,0,100.00,11
Devon Conway,b Behrendorff,0,4,4,0,0,0.00,12
Ruturaj Gaikwad,not out,40,36,80,2,1,111.11,12
Ajinkya Rahane,c Yadav b Chawla,61,27,33,7,3,225.92,12
Shivam Dube,b Kartikeya,28,26,28,2,1,107.69,12
Ambati Rayudu,not out,20,16,16,3,0,125.00,12
Rahmanullah Gurbaz †,c Yash Dayal b Mohammed Shami,15,12,13,1,1,125.00,13
Narayan Jagadeesan,c Manohar b Little,6,8,21,1,0,75.00,13
Venkatesh Iyer,c Shubman Gill b Joseph,83,40,64,8,5,207.50,13
Nitish Rana (c),c Mohammed Shami b Joseph,45,29,42,4,3,155.17,13
Rinku Singh,not out,48,21,43,1,6,228.57,13
Andre Russell,c sub (†KS Bharat) b Rashid Khan,1,2,6,0,0,50.00,13
Sunil Narine,c sub (J Yadav) b Rashid Khan,0,1,2,0,0,0.00,13
Shardul Thakur,lbw b Rashid Khan,0,1,3,0,0,0.00,13
Umesh Yadav,not out,5,6,19,0,0,83.33,13
Harry Brook,b Arshdeep Singh,13,14,18,3,0,92.85,14
Mayank Agarwal,c Curran b Chahar,21,20,38,3,0,105.00,14
Rahul Tripathi,not out,74,48,61,10,3,154.16,14
Aiden Markram (c),not out,37,21,41,6,0,176.19,14
Kyle Mayers,b Mohammed Siraj,0,3,5,0,0,0.00,15
KL Rahul (c),c Kohli b Mohammed Siraj,18,20,61,1,0,90.00,15
Deepak Hooda,c †Karthik b Parnell,9,10,19,1,0,90.00,15
Krunal Pandya,c †Karthik b Parnell,0,2,3,0,0,0.00,15
Marcus Stoinis,c Shahbaz Ahmed b Sharma,65,30,32,6,5,216.66,15
Nicholas Pooran †,c Shahbaz Ahmed b Mohammed Siraj,62,19,38,4,7,326.31,15
Ayush Badoni,hit wicket b Parnell,30,24,45,4,0,125.00,15
Jaydev Unadkat,c du Plessis b Patel,9,7,19,1,0,128.57,15
Mark Wood,b Patel,1,2,6,0,0,50.00,15
Ravi Bishnoi,not out,3,2,8,0,0,150.00,15
Avesh Khan,not out,0,1,3,0,0,0.00,15
Rohit Sharma (c),c †Abishek Porel b Mustafizur Rahman,65,45,86,6,4,144.44,16
Ishan Kishan †,run out (Mukesh Kumar/Lalit Yadav),31,26,32,6,0,119.23,16
Tilak Varma,c Pandey b Mukesh Kumar,41,29,42,1,4,141.37,16
Suryakumar Yadav,c Kuldeep Yadav b Mukesh Kumar,0,1,3,0,0,0.00,16
Tim David,not out,13,11,27,0,1,118.18,16
Cameron Green,not out,17,8,20,1,1,212.50,16
Ruturaj Gaikwad,c Jaiswal b Sandeep Sharma,8,10,14,1,0,80.00,17
Devon Conway,c Jaiswal b Chahal,50,38,82,6,0,131.57,17
Ajinkya Rahane,lbw b Ashwin,31,19,38,2,1,163.15,17
Shivam Dube,lbw b Ashwin,8,9,13,1,0,88.88,17
Moeen Ali,c Sandeep Sharma b Zampa,7,10,12,0,0,70.00,17
Ambati Rayudu,c Hetmyer b Chahal,1,2,4,0,0,50.00,17
